"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Lateral Raise (Machine)",,"",1,"normal",35,14,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Butterfly (Pec Deck)",,"",0,"normal",65,14,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Butterfly (Pec Deck)",,"",1,"normal",70,10,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Face Pull",,"tempo PR",0,"normal",75,15,,,
"Upper 2","9 Jul 2026, 19:27","9 Jul 2026, 20:18","what in the pullup PR","Face Pull",,"tempo PR",1,"normal",75,15,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",0,"normal",60,3,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",1,"normal",55,3,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",2,"normal",55,3,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",3,"normal",77.5,6,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",4,"normal",77.5,6,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bench Press (Barbell)",,"",5,"normal",77.5,6,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bent Over Row (Barbell)",,"",0,"warmup",60,11,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bent Over Row (Barbell)",,"",1,"normal",75,11,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bent Over Row (Barbell)",,"",2,"normal",75,12,,,
"Upper 1","6 Jul 2026, 19:11","6 Jul 2026, 20:09","","Bent Over Row (Barbell)",,"",3,"normal",75,12,,,
